algorithm,attempts,avg_cpu_percent,avg_memory_mb,ciphertext_bytes,cpu_system_micros,cpu_user_micros,decapsulate_time_ms,decrypt_time_ms,disk_io_bytes,encapsulate_time_ms,encrypt_time_ms,error,keygen_time_ms,latency_micros,max_rss_bytes,net_rx_bytes,net_tx_bytes,operation,parameter_set,public_key_bytes,secret_key_bytes,sign_time_ms,signature_bytes,storage_overhead_pct,throughput_ops_per_sec,timestamp_seconds_utc,verify_time_ms
RSA-2048,1,,2.15625,,0,837,,,0,,,,0.0,0,2260992,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,2.15625,,0,847,,,0,,,,0.0,0,2260992,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,2.15625,,0,856,,,0,0.0,,,,0,2260992,38878234753,24741128822,Encapsulate,,294,1192,,256,,0.0,1762751331,
ECDHE-P256,1,,2.15625,,0,866,,,0,,,,0.0,0,2260992,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,2.15625,,0,875,,,0,,,,0.0,0,2260992,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,2.15625,,0,884,,,0,0.0,,,,0,2260992,38878234753,24741128822,Encapsulate,,65,32,,0,,0.0,1762751331,
Dilithium2,1,,2.15625,,0,895,,,0,,,,0.001,1,2260992,38878234753,24741128822,Keygen,,1312,2528,,2420,,1000000.0,1762751331,
Dilithium2,1,,2.15625,,0,904,,,0,,,,,0,2260992,38878234753,24741128822,Sign,,1312,2528,0.0,2420,,0.0,1762751331,
Dilithium2,1,,2.15625,,0,913,,,0,,,,,0,2260992,38878234753,24741128822,Verify,,1312,2528,,2420,,0.0,1762751331,0.0
Dilithium3,1,,2.15625,,0,925,,,0,,,,0.002,2,2260992,38878234753,24741128822,Keygen,,1952,4000,,3293,,500000.0,1762751331,
Dilithium3,1,,2.15625,,0,935,,,0,,,,,0,2260992,38878234753,24741128822,Sign,,1952,4000,0.0,3293,,0.0,1762751331,
Dilithium3,1,,2.15625,,0,944,,,0,,,,,0,2260992,38878234753,24741128822,Verify,,1952,4000,,3293,,0.0,1762751331,0.0
ECDSA-P256,1,,2.15625,,0,953,,,0,,,,0.0,0,2260992,38878234753,24741128822,Keygen,,65,32,,72,,0.0,1762751331,
ECDSA-P256,1,,2.15625,,0,964,,,0,,,,,0,2260992,38878234753,24741128822,Sign,,65,32,0.0,72,,0.0,1762751331,
ECDSA-P256,1,,2.15625,,0,972,,,0,,,,,0,2260992,38878234753,24741128822,Verify,,65,32,,72,,0.0,1762751331,0.0
AES-GCM-256,1,,2.15625,1040,0,984,,,0,,0.0024449999999999997,,,2,2260992,38878234753,24741128822,BulkEncrypt,,,,,,101.5625,500000.0,1762751331,
AES-GCM-256,1,,2.15625,1040,0,996,,0.002064,0,,,,,2,2260992,38878234753,24741128822,BulkDecrypt,,,,,,101.5625,500000.0,1762751331,
Kyber512,1,,1.828125,,671,0,,,0,,,,0.004,4,1916928,38878234753,24741128822,Keygen,,800,1632,,0,,250000.0,1762751331,
Kyber512,1,,1.828125,,703,0,,,0,,,,0.001,1,1916928,38878234753,24741128822,Keygen,,800,1632,,0,,1000000.0,1762751331,
Kyber512,1,,1.828125,,715,0,,,0,0.0,,,,0,1916928,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.828125,,725,0,,,0,0.0,,,,0,1916928,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.828125,,734,0,0.0,,0,,,,,0,1916928,38878234753,24741128822,Decapsulate,,800,1632,,0,,0.0,1762751331,
Kyber768,1,,1.828125,,745,0,,,0,,,,0.001,1,1916928,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,1.828125,,755,0,,,0,,,,0.001,1,1916928,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
